,ari,atl,bal,bos,chc,chw,cin,cle,col,det,mia,hou,kcr,laa,lad,mil,min,nym,nyy,oak,phi,pit,stl,sdp,sfg,sea,tbr,tex,tor,wsn
144,-24,-32.0,14,18,40,-4,-20,22.0,-6,10.0,-2.0,6,4,-18,18,-16,-38,8,10,-20,-16,-4,8,-24,10,8,-22,26,14,28
145,-23,-33.0,15,17,41,-5,-21,23.0,-7,11.0,-1.0,5,3,-19,19,-17,-37,9,9,-19,-17,-3,7,-23,9,9,-21,27,13,27
146,-22,-34.0,14,18,40,-4,-22,22.0,-8,10.0,0.0,6,2,-20,18,-16,-38,8,8,-18,-16,-2,6,-22,10,10,-20,28,14,28
147,-23,-35.0,15,19,41,-3,-23,23.0,-7,9.0,-1.0,7,1,-21,19,-15,-37,9,7,-19,-17,-1,5,-23,11,9,-21,27,15,29
148,-24,-34.0,14,20,40,-4,-24,24.0,-6,8.0,-2.0,8,2,-20,20,-16,-38,10,6,-18,-16,0,6,-24,10,8,-20,28,14,28
149,-23,-33.0,15,21,39,-5,-23,23.0,-5,9.0,-1.0,7,3,-19,19,-15,-39,11,5,-17,-15,-1,7,-25,9,9,-21,27,13,27
150,-24,-32.0,14,22,40,-6,-24,24.0,-6,10.0,0.0,8,4,-20,20,-14,-40,10,6,-18,-16,0,8,-24,8,8,-22,26,14,26
151,-25,-31.0,13,23,41,-7,-25,25.0,-7,11.0,1.0,9,3,-21,19,-15,-41,9,7,-19,-15,1,9,-23,9,7,-23,27,15,25
152,-24,-30.0,12,24,42,-8,-26,26.0,-6,12.0,0.0,10,2,-20,20,-16,-42,8,6,-20,-14,0,8,-24,8,8,-22,28,14,26
153,-25,-29.0,11,25,43,-9,-27,27.0,-7,13.0,-1.0,9,1,-19,21,-15,-43,9,5,-21,-15,1,7,-25,9,9,-23,27,15,25
154,-26,-28.0,12,26,42,-8,-26,26.0,-8,12.0,-2.0,8,0,-18,22,-14,-44,10,4,-22,-16,0,8,-24,8,8,-24,28,16,26
155,-27,-29.0,13,27,43,-7,-25,25.0,-9,11.0,-1.0,7,1,-17,23,-15,-43,9,3,-21,-15,-1,7,-25,9,9,-25,29,17,27
156,-26,-28.0,14,28,44,-6,-24,26.0,-10,10.0,0.0,8,2,-18,24,-16,-44,10,4,-22,-16,-2,6,-24,8,10,-26,28,16,26
157,-27,-27.0,13,27,45,-5,-25,25.0,-11,11.0,-1.0,7,3,-17,23,-15,-45,9,5,-23,-17,-3,7,-23,9,9,-27,27,17,27
158,-26,-26.0,14,26,44,-4,-24,24.0,-10,12.0,-2.0,8,4,-16,22,-16,-46,10,6,-24,-18,-2,6,-22,8,10,-28,28,16,26
159,-27,-27.0,15,25,44,-5,-25,25.0,-11,13.0,-1.0,7,3,-15,23,-17,-45,11,7,-25,-19,-2,7,-23,9,11,-27,29,15,27
160,-26,-26.0,16,26,45,-4,-26,26.0,-10,12.0,-2.0,6,2,-14,22,-18,-46,12,6,-26,-20,-3,8,-24,10,12,-28,30,14,26
